dec_Chicken_Breast,dec_Tofu,dec_Eggs,dec_Sweet_Potato,dec_White_Rice,dec_Oats,dec_Almonds,dec_Olive_Oil,dec_Avocado,dec_Spinach,dec_Berries,dec_Broccoli,obj_Nutrient_Density,obj_Cost,obj_Prep_Time,obj_Carbon_Footprint,obj_Satiety,obj_Diversity
<0.01,,<0.01,<0.35,<0.3,<0.3,<0.25,<0.1,<0.25,,,,>0.65,,,,,
,,,,,,,,,,,,1,-1,-1,-1,1,1
Proteins,Proteins,Proteins,Carbohydrates,Carbohydrates,Carbohydrates,Fats,Fats,Fats,Vegetables_Fruits,Vegetables_Fruits,Vegetables_Fruits,,,,,,
,,,,,,,,,,,,"score [0,1]",USD per 100kcal,minutes per 100kcal,gCO2e per 100kcal,"score [0,1]","score [0,1]"
0.0003573482586167633,0.0016646590782763376,4.270228220351345e-09,0.0009103693618355823,9.592348825751115e-09,0.042480685076387525,0.0005717675170832799,6.523769014256772e-06,0.0001671634651220655,1.0990162309392438e-05,0.9493306426998169,0.0044998367489607425,0.8371050460124485,0.5775962580361846,2.2285919553150366,59.10193242881282,0.5610126673047076,0.10575533575719852
0.000375276677511705,0.05064900376794483,3.335452175588607e-08,0.008095610272374766,1.0097035616772787e-08,0.0019306075622861213,3.5025156907709205e-07,0.017684701993660953,1.3172923193075503e-07,1.4115813557623968e-06,0.9210707345500274,0.00019212816247995423,0.836409735561919,0.5644594735322652,2.1244944192444706,62.60258907776114,0.5494973234148128,0.16219765940617306
2.653918557995478e-10,0.0013684005010983398,3.20960041141828e-05,0.11948653643356918,0.07386522534882999,2.064418132998677e-07,0.07066032401489902,0.05708850886621509,1.1685704400391429e-05,0.6260773142148577,0.008208710651597608,0.04320099155321343,0.8331607187384803,0.40360164384307196,11.894328466216646,37.21714676145817,0.5231926576570705,0.6306616703977115
4.654039982066045e-08,0.37632877693213407,8.902576388701786e-09,0.0014190514217761639,0.0006384896672755268,1.3283848779340875e-05,0.0015398506230186574,0.0015991694900907125,4.479548257411192e-08,0.5370767120955986,0.0005184251182986657,0.08086614056456938,0.8294822696115229,0.3226010306274731,8.85396351925908,51.66152996703947,0.5419521755815874,0.6145945150772472
0.0001934219060093232,0.039641298676007984,0.00012534903825821107,0.11760365197983508,0.10784353602941484,0.0020889978510537895,0.004254076856919807,0.0034017929114778917,0.0038099552817634744,0.03227388633170481,0.00028463687334684705,0.6884793962642081,0.82892803498883,0.17457921914288382,18.233108931665825,40.47006560204517,0.5523151521789527,0.5431347864206452
0.00020920803691114025,0.042876623686130294,0.0001286397419797457,0.0015699748345159715,0.11664518736146771,0.0022437563997785765,0.0046012733845276444,0.0036794302758769108,0.04971860299588574,0.03490791990553434,0.00032755441565611595,0.7430918289617359,0.8277432361540887,0.19399504332860507,17.313659589086953,43.819131994224804,0.5444957084143289,0.46760416362025825
7.265030906622079e-07,8.405971558233818e-06,7.759226487078136e-07,0.0029129467785953137,0.00011423955878228585,0.08444965979892842,0.00037683404395866005,0.00041296118692694587,0.0038232600872873026,0.017033901278120645,0.8875522326453616,0.0033140562247412886,0.8250624051253568,0.5567261085922036,2.5395223616623483,57.43479006406682,0.5708957614413441,0.22341242649243273
0.0002935605990085494,0.0272948336901514,1.586636493033528e-07,0.0028026821973493083,0.04330067386477997,0.034041736489931085,0.0003625696405161853,0.00039732925273509937,0.0036785371642263495,0.030740120110185117,0.8539554721464311,0.003132326181036592,0.8243811414104525,0.5429006969893596,3.0852424114170063,58.507685006741504,0.5547028199153797,0.29018697473957283
0.00022343326328659734,0.039489549166983814,0.00011496539975985964,0.0005736287252697441,0.13187334342216617,0.00953932164450209,0.04330658945483012,0.0004201791104091966,0.007178637921325103,0.0034979148361546477,0.07331248495297754,0.6904699521023351,0.8204914001375507,0.21593874583406109,16.140859316090552,44.60486527051825,0.5504016806892592,0.5420680639166704
0.00033821129915960864,0.044964883793720045,2.981491712043103e-08,0.003571833807814536,0.05490982611216732,0.001725730168848256,0.05270701447617513,0.01580798933648257,1.1775003584515234e-07,0.0006203957891352352,0.823326078954121,0.002027888697423369,0.8189804423375324,0.5392124125476888,2.6933711375580724,64.34503975455797,0.5541888323451515,0.342598874489628
